California Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private School Directory 2009-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment,Enrollment,,,,,,,Site,Site,Site,Site,,,,,High,Number of,,,,,,,,,,,Special,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian
74676,Monterey,Pacific Coast Christian Academy,Santa Rita Union Elementary,27661917088925,831,449,0140,381 San Juan Grade Road,Salinas,CA,93906,ryoungpcca@yahoo.com,7,11,9,5,13,10,4,6,9,0,0,0,0,0,0,74, ,,,,,Mrs.,Robin,Young,Principal,Coeducational,Day Only,K,8,No,0,5,2,1,2,Yes,No,No,No,Religious,BAPT,No,Mrs.,Rachael,Mickel,381 San Juan Grade Road,Salinas,CA,93906,rmickelpcca@gmail.com
82154,Monterey,Pacific Lighthouse Academy,Monterey Peninsula Unified,27660926134654,831,855,1593,600 Hawthorne Street,Monterey,CA,93940,pacificlighthouseacademy@gmail.com,0,1,2,2,1,4,0,2,1,2,1,1,0,0,0,17, ,,  ,,,Mr.,Nathan,Rehn,Director,Coeducational,Day Only,1,12,Yes,2,4,0,2,1,No,No,No,Yes,Non-religious,,No,Mr.,Christopher,Randall,600 Hawthorne ,Monterey,CA,93940,pacificlighthouseacademy@gmail.com
83162,Monterey,Palma High School,Salinas Union High,27661596936702,831,422,6391,919 Iverson Street ,Salinas,CA,93901-1898,sullivan@palmahs.org,0,0,0,0,0,0,0,58,84,121,81,119,113,0,0,576, ,,,,,Mr.,David,Sullivan,Principal,Boys Only,Day Only,7,12,Yes,117,31,4,4,3,Yes,Yes,Yes,No,Religious,CATH,No,Mr.,David,Sullivan,919 Iverson Street,Salinas,CA,93901-1898,sullivan@palmahs.org
74630,Monterey,Peninsula Adventist,Monterey Peninsula Unified,27660926993695,831,394,5578,1025 Mescal Street,Seaside,CA,93955,PAS22@live.com,2,3,1,5,0,3,3,1,0,0,0,0,0,0,0,18, ,,,,,Miss,Sarah,Seaman,Principal,Coeducational,Day Only,K,8,No,0,2,0,0,1,Yes,No,No,No,Religious,SDA,No,Mr..,Ken,Bullington,2820 Clovis Avenue,Clovis,CA,93612,kpbullington@aol.com
75601,Monterey,Sacred Heart School,Salinas City Elementary,27661426974711,831,771,1310,123 West Market Street,Salinas,CA,93901,jdean@shschool.com,31,32,30,30,31,28,33,22,14,0,0,0,0,0,0,251, ,,,,,Ms.,Jennifer,Dean,Principal,Coeducational,Day Only,K,8,No,0,11,3,1,14,Yes,No,No,No,Religious,CATH,No,Mrs.,Patricia,Cunanan,123 West Market Street,Salinas,CA,93901,pcunanan@shschool.com
75921,Monterey,Salinas Christian Schools,Salinas City Elementary,27661426974745,831,449,5421,345 East Alvin Drive,Salinas,CA,93906,school@salinaschristian.com,16,24,21,16,9,3,9,6,0,0,0,0,0,0,0,104, ,,,,,Rev.,Ben,Cabitac,Superintendent,Coeducational,Day Only,K,8,No,0,7,0,2,3,Yes,No,No,No,Religious,AG,No,Mrs.,Jean,Waddy,345 East Alvin Drive,Salinas,CA,93906,school@salinaschristian.com
79818,Monterey,San Carlos Elementary,Monterey Peninsula Unified,27660926974760,831,375,1324,450 Church Street,Monterey,CA,93940,principal@sancarlosschool.org,36,31,35,29,35,25,22,33,18,0,0,0,0,0,0,264, ,,,,,Mrs.,Teresa ,Bennett,Principal,Coeducational,Day Only,K,8,No,0,11,5,1,12,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Teresa,Bennett,450 Church Street,Monterey,CA,93940,schools@dioceseofmonterey.org
81350,Monterey,Santa Catalina School,Monterey Peninsula Unified,27660926936744,831,655,9300,1500 Mark Thomas Drive,Monterey,CA,93940-5291,Sister_Claire@SantaCatalina.org,25,23,22,21,21,25,32,37,44,55,55,66,64,0,0,490, ,,,,,Sr.,Claire,Barone,Head of School,Coeducational,Both,K,12,Yes,69,54,12,15,25,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Lynne,Millington,1500 Mark Thomas Drive,Monterey,CA,93940,lynne_millington@santacatalina.org
82998,Monterey,Soaring Eagles Christian Academy,Salinas City Elementary,27661426203426,831,758,5849,298 East Market ,Salinas,CA,93901,,1,4,4,3,3,5,0,3,3,4,6,6,7,0,0,49, ,,,,,Mrs.,Anna ,Musumeci,Director,Coeducational,Day Only,K,12,Yes,3,5,2,1,0,Yes,No,No,No,Religious,NA,No,Miss,Paula,Ruiz,298 East Market Street ,Salinas,CA,93901,
75051,Monterey,Stevenson Lower and Middle,Carmel Unified,27659876921951,831,626,5200,24800 Dolores Street,Carmel,CA,93921,info@stevensonschool.org,19,22,23,14,12,24,24,17,23,0,0,0,0,0,0,178,P.O. Box AP,Carmel,CA,93921,,Mr.,Ronald,Provost,Head of School,Coeducational,Day Only,K,8,No,0,20,0,4,5,Yes,No,No,No,Non-religious,,No,Mrs.,Roxanne,Crawford,24800 Dolores Street,Carmel,CA,93921,rcrawford@stevensonschool.org
75930,Monterey,Stevenson School,Monterey Peninsula Unified,27660926936736,831,625,8300,3152 Forest Lake Road ,Pebble Beach,CA,93953,,0,0,0,0,0,0,0,0,0,100,142,158,133,0,0,533, ,,,,Robert Louis Stevenson School,Mr.,Joseph ,Wandke,President,Coeducational,Both,9,12,Yes,131,62,4,54,8,Yes,Yes,Yes,No,Non-religious,,No,Mrs.,Celeste ,Akkad,3152 Forest Lake Road ,Pebble Beach,CA,93953,cakkad@stevensonschool.org
72866,Monterey,York,Monterey Peninsula Unified,27660926936777,831,372,7338,9501 York Road,Monterey,CA,93940,LDavidson@yorkorg,0,0,0,0,0,0,0,0,19,48,49,52,46,0,0,214, ,,,,,Mr.,Chuck,Harmon,Head of School,Coeducational,Day Only,8,12,Yes,51,28,5,16,9,Yes,No,No,No,Non-religious,,No,Mrs.,Lucia,Davidson,9501 York Road,Monterey,CA,93940,ldavidson@york.org
76347,Napa,Aldea Non-Public,Napa Valley Unified,28662667040520,707,224,5510,4002 Jefferson Street,Napa,CA,94558,aldeasch@aldeainc.org,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0,8, ,,,,,Mrs.,Mandi,Neidlinger,Principal,Coeducational,Day Only,6,12,Yes,0,1,0,1,0,Yes,Yes,No,No,Non-religious,,Yes,Mrs.,Mandi,Neidlinger,4002 Jefferson Street,Napa,CA,94558,aldeasch@aldeainc.org
82896,Napa,"Anova Center for Education, Site 2",Napa Valley Unified,28662660112920,707,527,7032,"300 Benton Way, F3 ",American Canyon,CA,94503,email@anovaeducation.org,0,0,0,0,0,1,0,3,1,1,2,4,0,0,0,12,2911 Cleveland Avenue ,Santa Rosa,CA,95403,,Mr.,Andrew,Bailey,Executive Director,Coeducational,Day Only,4,12,Yes,0,1,0,3,6,Yes,No,No,No,Non-religious,,Yes,Mr.,Andrew,Bailey,300 Benton Way,American Canyon,CA,94503,abailey@anovaeducation.org
83988,Napa,Blue Oak School,Napa Valley Unified,28662666202287,707,261,4500,1436 Polk Street ,Napa,CA,94559,info@blueoakschool.org,14,18,13,20,18,15,23,24,27,0,0,0,0,0,0,172, ,,,,,Mr.,Hal,Hensler,Head of School,Coeducational,Day Only,K,8,No,0,18,4,5,4,Yes,Yes,Yes,No,Non-religious,,No,Ms.,Cyndi,Morin,1436 Polk Street,Napa,CA,94559,cmorin@blueoakschool.org
73700,Napa,Calvary Baptist Christian Academy,Napa Valley Unified,28662666130058,707,642,1143,117 Theresa Avenue,American Canyon,CA,94503,rod.burkholder@cbcac.org,12,8,12,7,14,10,3,12,11,9,3,4,5,0,0,110, ,,,,,Rev.,Rod,Burkholder,Administrator,Coeducational,Day Only,K,12,Yes,4,8,4,1,0,Yes,Yes,No,No,Religious,BAPT,No,Ms.,Rod,Burkholder,117 Theresa Avenue,American Canyon,CA,94503,rod.burkholder@cbcac.org
76446,Napa,Foothills Adventist Elementary,St. Helena Unified,28662906976187,707,963,3546,711 Sunnyside Road,St. Helena,CA,94574,larrynancymccoy@yahoo.com,5,4,7,11,5,6,7,4,10,0,0,0,0,0,0,59, ,,,,,Mrs.,Nancy,McCoy,Principal,Coeducational,Day Only,K,8,No,0,5,1,0,4,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
76432,Napa,Grace Academy of Napa Valley,Napa Valley Unified ,28662666133581,707,255,4033,3765 Solano Avenue,Napa,CA,94558,director@gracaacademynapa.org,2,0,5,2,5,2,2,5,2,3,3,0,0,0,0,31, ,,,,,Mr.,Anton,Van Straaten,Director,Coeducational,Day Only,K,12,Yes,0,3,6,1,2,Yes,Yes,No,No,Religious,BAPT,No,Mr.,Anton,Van Straaten,3765 Solano Street,Napa,CA,94558,amvantraaten@aol.com
75042,Napa,Harvest Christian Academy,Napa Valley Unified,28662667083686,707,224,6025,"2800 Jefferson Street, Suite 7",Napa,CA,94558,HarvestCAcademy@aol.com,0,9,14,10,10,9,14,7,19,8,18,20,13,0,0,151, ,,,,,Mrs.,Cynthia,Frediani,Principal,Coeducational,Day Only,1,12,Yes,20,34,43,2,8,No,No,No,Yes,Religious,NA,No,Mrs.,Cynthia,Frediani,"2800 Jefferson Street, Suite 7",Napa,CA,94558,HarvestCAcademy@aol. om
84311,Napa,Hopewell Baptist Christian Academy,Napa Valley Unified,28662666955827,707,252,0332,3755 Linda Vista Avenue,Napa,CA,94558,barry.debski@hopewellbc.com,1,2,4,1,4,1,4,3,2,3,3,1,5,0,0,34, ,,,,,Mr.,Barry,Debski,Principal,Coeducational,Day Only,K,12,Yes,2,4,1,1,2,Yes,No,No,No,Religious,BAPT,No,Mr.,Barry,Debski,3755 Linda Vista Avenue,Napa,CA,94558,barry.debski@hopewellbc.com
73804,Napa,Justin-Siena High School,Napa Valley Unified,28662666936793,707,255,0950,4026 Maher Street ,Napa,CA,94558,jordanr@justin-siena.org,0,0,0,0,0,0,0,0,0,155,166,150,135,0,0,606, ,,,,,Mr.,Robert,Jordan,President,Coeducational,Day Only,9,12,Yes,136,33,9,6,35,Yes,Yes,Yes,No,Religious,CATH,Yes,Sr.,Susan ,"Allbritton, O.P.",4026 Maher Street ,Napa,CA,94558,allbrittons@justin-siena.org
74833,Napa,Kolbe Academy,Napa Valley Unified,28662666912216,707,255,6499,1600 F Street,Napa,CA,94559,homeinfo@kolbe.org,12,23,14,16,25,22,23,25,10,16,15,13,7,0,0,221, ,,,,,Mrs.,Mary,Rowles,Other,Coeducational,Day Only,K,12,No,11,5,3,2,6,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Rebecca,Gilley,1600 F Street,Napa,CA,94559,registration@kolbe.org
75925,Napa,Kolbe Academy and Trinity Prep,Napa Valley Unified,28662667098502,707,258,9030,2055 Redwood Road,Napa,CA,94558,office@kolbetrinity.org,8,5,7,6,6,13,13,10,13,13,13,9,9,0,0,125, ,,,,Trinity Grammar and Prep,Mr.,Brian,Muth,Principal,Coeducational,Day Only,K,12,Yes,14,4,9,2,3,Yes,No,No,No,Religious,CATH,No,Mrs.,Antonia,Williams,2055 Redwood Road,Napa,CA,94558,office@kolbetrinity.org
76785,Napa,Napa Christian Campus of Education,Napa Valley Unified,28662666976195,707,255,5233,2201 Pine Street,Napa,CA,94559,greg_coryell2671@sbcglobal.net,9,11,11,14,10,17,15,10,15,14,10,5,6,0,0,147, ,,,,Napa Adventist Junior Academy,Mr.,Greg,Coryell,Principal,Coeducational,Day Only,K,12,No,0,9,2,1,6,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
76796,Napa,Pacific Union College Elementary,Howell Mountain Elementary,28662586976203,707,965,2459,135 Neilsen Court,Angwin,CA,94508,jdick@puc.edu,11,10,13,13,21,17,15,22,22,0,0,0,0,0,0,144, ,,,,,Dr.,James,Dick,Principal,Coeducational,Day Only,K,8,No,0,8,5,1,8,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
76806,Napa,Pacific Union College Preparatory,St. Helena Unified,28662906936819,707,965,7272,"McKibbin Hall, 1 Angwin Avenue",Angwin,CA,94508,,0,0,0,0,0,0,0,0,0,12,15,26,14,0,0,67, ,,,,,Mr.,Peter,Fackenthall,Principal,Coeducational,Day Only,9,12,Yes,24,5,3,1,1,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
72251,Napa,St. Apollinaris Elementary,Napa Valley Unified,28662666976211,707,224,6525,3700 Lassen Street ,Napa,CA,94558,acardwell.adminsec@gmail.com,24,33,19,33,26,35,30,33,34,0,0,0,0,0,0,267, ,,,,,Mr.,Jack,Kersting,Principal,Coeducational,Day Only,K,8,No,0,11,3,1,0,No,Yes,No,No,Religious,CC,No,Mrs.,Roberta,Monk,3700 Lassen Street,Napa,CA,94558,bmonk.schoolsec@gmail.com
74862,Napa,St. Helena Catholic,St. Helena Unified,28662906976229,707,963,4677,1255 Oak Avenue,St. Helena,CA,94574,shcs707@yahoo.com,12,12,10,7,8,12,8,8,13,0,0,0,0,0,0,90, ,,,,,Mr.,Jim,Ritchie,Principal,Coeducational,Day Only,K,8,No,0,5,3,1,7,Yes,No,No,No,Religious,CATH,No,Mrs.,Epimenia,Rodriguez,1255 Oak Avenue,St. Helena,CA,94574,shcs707@yahoo.com
80148,Napa,St. Helena Montessori,St. Helena Unified,28662906956833,707,963,1527,1343 Spring Street,St. Helena,CA,94574,elena@sthms.org,13,8,9,13,9,5,7,7,5,0,0,0,0,0,0,76, ,,,,,Mrs.,Elena,Heil,President,Coeducational,Day Only,K,8,No,0,10,6,2,5,Yes,No,No,No,Religious,CATH,No,Mrs.,Michelle,Duckhorn,1343 Spring Street,St. Helena,CA,94574,
72602,Napa,St. John the Baptist Catholic,Napa Valley Unified,28662666976237,707,224,8388,983 Napa Street,Napa,CA,94559,schoolinfo@stjohnscatholic.org,18,17,21,23,12,23,29,27,30,0,0,0,0,0,0,200, ,,,,,Mrs.,Nancy ,Jordan,Principal,Coeducational,Day Only,K,8,No,0,11,2,4,5,Yes,No,No,No,Religious,CATH,No,Mrs.,Jennifer,Giaquinto,983 Napa Street,Napa,CA,94559,jgiaquinto@stjohnscatholic.org
79119,Napa,St. John's Lutheran Elementary,Napa Valley Unified,28662666976245,707,226,7970,3521 Linda Vista Avenue,Napa,CA,94558,jwahlers@stjohnsnapa.org,21,21,26,24,26,26,25,27,25,0,0,0,0,0,0,221, ,,,,,Mr.,Joel,Wahlers,Principal,Coeducational,Day Only,K,8,No,0,9,6,1,3,Yes,Yes,Yes,No,Religious,LUTH,No,Mr.,Joel,Wahlers,3521 Linda Vista Avenue,Napa,CA,94558,jwahlers@stjohnsnapa.org
75982,Napa,Sunrise Montessori of Napa Valley,Napa Valley Unified,28662666923023,707,253,1105,1226 Salvador Avenue,Napa ,CA,94558,info@sunrisemontessorinapa.com,9,5,12,9,9,8,7,0,0,0,0,0,0,0,0,59,P.O. Box 4077 ,Napa,CA,94558,,Ms.,Bonnie,Sauer,Administrator,Coeducational,Day Only,K,6,No,0,5,2,2,11,No,No,No,Yes,Non-religious,,No,Ms.,Lisa,Toller,1226 Salvador Avenue,Napa,CA,94559,ltoller@sunrisemontessorinapa.com
72233,Napa,The Young School,St. Helena Unified ,28662907078215,707,967,9909,957 Brown Street,St. Helena,CA,94574,tyschool@comcast.net,0,4,2,10,2,5,4,0,0,0,0,0,0,0,0,27, ,,,,Young School,Ms.,Cynthia,Mein,Administrator,Coeducational,Day Only,1,6,No,0,2,4,1,0,Yes,No,No,No,Non-religious,,No,Ms.,Cynthia,Mein,957 Brown Street,St. Helena,CA,94574,tyschool@comcast.net
80072,Nevada,Ananda Living Wisdom,Twin Ridges Elementary,29664156908735,530,478,7640,14618 Tyler Foote Road,Nevada City,CA,95959,hridaya@livingwisdom.org,6,10,8,5,10,2,3,2,0,7,3,1,2,0,0,59, ,,,,,Mr.,Michael,Deranja,Head of School,Coeducational,Both,K,12,Yes,5,7,3,1,2,Yes,Yes,No,No,Religious,Other,No,Ms.,Sylvia,Lopez,14618 Tyler Foote Road,Nevada City,CA,95959,sylvia@livingwisdom.org
75783,Nevada,Charis Youth Center,Nevada Joint Union High,29663576928741,530,477,9800,714 West Main Street,Grass Valley,CA,95945,,0,0,0,0,0,0,0,0,1,3,5,8,5,0,0,22, ,,,,,Dr.,Carol,Fuller Powell,Executive Director,Coeducational,Both,8,12,No,0,2,0,2,16,No,Yes,No,No,Non-religious,,Yes,Mrs.,Christie,Sonmez,714 West Main Street,Grass Valley,CA,95945,christies@charisyouthcenter.org
83460,Nevada,Christian Encounter High School,Nevada Joint Union High,29663576936843,530,268,0877,17183 Retrac Way ,Grass Valley,CA,95949,cem@ChristianEncounter.org,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,8, ,,,,,Mr.,Thomas,Kern,Principal,Coeducational,Day Only,9,12,Yes,3,1,3,1,0,Yes,No,No,No,Religious,NA,No,Mr.,Thomas,Kern,16990 Retrac Way ,Grass valley,CA,95949,tomkern@hotmail.com
84698,Nevada,Crossroads Christian Schools,Pleasant Ridge Union Elementary,29663737090129,530,268,2597,10062 Wolf Road,Grass Valley,CA,95949,ccs@crossroadslive.com,12,16,10,11,10,10,10,7,10,0,0,0,0,0,0,96, ,,,,Cornertstone Christian Schools,Mr.,Duane,Triplett,Superintendent,Coeducational,Day Only,K,8,No,0,8,2,1,5,Yes,No,No,No,Religious,CAL,No,Mrs.,Myra,Makelim,10062 Wolf Road,Grass Valley,CA,95949,ccs@crossroadslive.com
76150,Nevada,Echo Ridge SDA,Nevada City Elementary,29663406976120,530,265,2057,15504 Liberty Circle,Nevada City,CA,95959,dlermshar@sbcglobal.net,2,0,3,5,5,1,5,2,1,0,0,0,0,0,0,24, ,,,,,Mr.,David,Ermshar,Principal,Coeducational,Day Only,K,8,No,0,3,0,0,1,Yes,No,No,No,Religious,SDA,No,Mrs.,Berit,von Pohle,401 Taylor Boulevard,Pleasant Hill,CA,94523,bvonpohle@nccsda.com
77317,Nevada,Forest Lake Christian,Pleasant Ridge Union Elementary,29663736936868,530,269,1535,12515 Combie Road,Auburn,CA,95602,j.schoellerman@forestlakechristian.org,22,20,28,24,30,25,39,39,69,58,61,65,61,0,0,541, ,,,,,Mrs.,Jean,Schoellerman,Administrator,Coeducational,Day Only,K,12,Yes,69,32,3,7,24,Yes,No,No,No,Religious,NA,No,Mrs.,Jean,Schoellerman,12515 Combie Road,Auburn,CA,95602,sburnett@forestlakechristian.org
76035,Nevada,"Milhous School, Inc.",Nevada Joint Union High,29663576936876,530,265,9057,10591 Milhous Drive,Nevada City,CA,95959,sandy@milhous.us,0,0,0,0,0,1,2,2,7,9,5,7,4,0,0,37, ,,,,,Ms.,Sandy ,Alexander,Other,Boys Only,Residential Boarding Only,3,12,No,0,5,0,1,19,Yes,No,No,No,Non-religious,,Yes,Ms.,Barbara,DeLeon,10591 Milhous Drive,Nevada City,CA,95959,barbara@milhous.us
76515,Nevada,Mount St. Mary's Academy,Grass Valley Elementary,29663326988315,530,273,4694,400 South Church Street,Grass Valley,CA,95945,mtstmarys.org,15,10,10,10,12,15,10,8,14,0,0,0,0,0,0,104, ,,,,,Mrs.,Edee,Wood,Principal,Coeducational,Day Only,K,8,No,0,6,5,1,3,Yes,No,No,No,Religious,CATH,Yes,Ms.,Ellen,Chesley,400 South Church Street,Grass Valley,CA,95945,echesley@mtstmarys.org
79678,Nevada,Sacred Heart School,Ready Springs Union Elementary,29663996136634,530,845,5046,10590 Chances R Road,Penn Valley,CA,95946,alan.witt@sbcglobal.net,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,6, ,,,,,Mr.,Alan,Witt,Administrator,Coeducational,Day Only,2,12,Yes,1,1,0,1,0,No,No,No,Yes,,,No,Mrs.,Andrea,Witt,10590 Chances R Road,Penn Valley ,CA,95946,
81140,Nevada,Solid Rock Ranch School,Nevada County Office of Education,29102986201479,530,273,2165,908 Taylor Ville Road,Grass Valley,CA,95945,admin@solidrockranchschool.org,0,1,1,0,0,0,0,0,0,0,2,4,0,0,0,8, ,,,,,Mrs.,Johanna,Johannsdottir,Administrator,Coeducational,Day Only,1,12,Yes,0,1,1,1,1,Yes,No,No,No,Religious,SDA,Yes,Mrs.,Johanna,Johannsdottir,908 Taylor Ville Road,Grass Valley,CA,95945,admin@solidrockranchschool.org
83783,Nevada,Sugar Bowl Academy,Tahoe-Truckee Joint Unified,29663577101074,530,426,1844,19195 Donner Pass Road ,Norden,CA,95724,twilson@sbacademy.org,0,0,0,0,0,0,0,0,8,13,6,7,10,0,0,44,P.O. Box 68,Norden,CA,95724,,Ms.,Tracy,Wilson,Head of School,Coeducational,Both,8,12,Yes,3,9,1,1,5,Yes,No,No,No,Non-religious,,No,Ms.,Tracy,Wilson,P.O. Box 68,Norden,CA,95724,
79138,Orange,Abiding Savior Lutheran School,Saddleback Valley Unified,30736356998942,949,830,1461,23262 El Toro Road,Lake Forest,CA,92630,csims@abidingsavior.com,35,26,20,17,30,19,26,28,38,0,0,0,0,0,0,239, ,,,,,Dr.,Carolyn,Sims,Principal,Coeducational,Day Only,K,8,No,0,13,3,1,10,Yes,Yes,Yes,No,Religious,LUTH,No,Dr.,Carolyn,Sims,23262 El Toro Road,Lake Forest,CA,92630,csims@abidingsavior.com
72595,Orange,"Acaciawood School, Inc.",Anaheim Union High,30664317092315,714,995,1800,2530 Wl La Palma Avenue,Anaheim,CA,92801,office@awschool.org,0,9,9,8,5,12,11,18,15,15,15,10,18,0,0,145, ,,,,,Mr.,Michio,Miyake,Principal,Coeducational,Day Only,1,12,Yes,13,15,8,1,3,Yes,No,No,No,Religious,NA,No,Mrs.,Gloria ,Snyder,2530 West La Palma Avenue,Anaheim,CA,92801,office@awschool.org
83323,Orange,ACME Academy,Los Alamitos Unified,30739246201016,562,480,6186,11071 Langley Drive,Los Alamitos,CA,90720,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7, ,,,,,Ms.,Pamela,Sorooshian,Director,Coeducational,Day Only,1,12,Yes,1,1,0,1,0,No,No,No,Yes,,,No,Ms.,Pamela,Sorooshian,11071 Langley Drive,Los Alamitos,CA,90720,
77766,Orange,Agape Academy,Capistrano Unified,30664647095037,949,701,9086,23632 Via Calzada ,Mission Viejo,CA,92691,denisejustiniano@cox.net,0,1,2,1,1,4,4,3,3,9,10,9,8,0,0,55,26861 Trabuco Road Suite 3 #307,Mission Viejo,CA,92691,,Mrs.,Denise,Justiniano,Administrator,Coeducational,Day Only,1,12,Yes,7,6,10,1,0,No,No,No,Yes,Religious,EVAN,No,Mrs.,Denise,Justiniano,23632 Via Calzada ,Mission Viejo,CA,92691,denisejustiniano@cox.net
80098,Orange,Al-Ridah Academy,Saddleback Valley Unified,30736357104375,949,951,0442,23581 Madero Drive,Mission Viejo,CA,92691,hanaa@alridah.org,10,4,2,6,1,0,0,0,0,0,0,0,0,0,0,23, ,,,,,Mrs.,Hanaa,El-Sherief,Principal,Coeducational,Day Only,K,4,No,0,3,2,1,1,Yes,No,No,No,Religious,CATH,No,Mrs.,Hanaa,El-Sherief,23581 Madero Drive,Mission Viejo,CA,92691,hanaa@alridah.org
77553,Orange,Aletheia Classical Academy,Ocean View Elementary,30666136134753,714,596,5002,9041 Crocus Avenue,Fountain Valley,CA,92708,,0,1,1,2,0,1,1,2,0,0,0,0,0,0,0,8, ,,,,,Mr.,Earl,Miles,Principal,Coeducational,Day Only,1,12,Yes,0,2,0,1,0,No,No,No,Yes,Religious,NA,No,Mrs.,Janette ,Miles,9041 Crocus Avenue,Fountain Valley,CA,92708,
74725,Orange,Aliso Viejo Christian,Capistrano Unified,30664647099377,949,389,0300,1 Orion ,Aliso Viejo,CA,92656,khutchins@avchristianschool.org,27,37,41,36,38,53,43,49,31,0,0,0,0,0,0,355, ,,,,,Mrs.,Katherine,Hutchins,Principal,Coeducational,Day Only,K,8,No,0,19,8,2,20,Yes,No,No,No,Religious,EVAN,No,Mrs.,Katherine,Hutchins,1 Orion ,Aliso Viejo,CA,92656,khutchins@avchristianschool.org
72665,Orange,Allied National High School,Saddleback Valley Unified,30736356132450,800,968,4034,22982 Alcalde Drive,Laguna Hills,CA,92653,jrieger@alliedhighschool.com,0,0,0,0,0,0,0,0,0,3,4,7,4,0,0,18, ,,,,,Mr.,James,Rieger,Director,Coeducational,Day Only,9,12,Yes,2,2,6,2,2,No,No,No,Yes,Non-religious,,No,Ms.,Jamie,Keobouala,22982 Alcalde Drive,Laguna Hills,CA,92653,jkeobouala@alliedschools.com
73477,Orange,Alternative Educational Services,La Habra City Elementary,30665637036155,714,525,2334,"1080 South Cypress Street, Suite E",La Habra,CA,90631,mindy@amprinting.com,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14, ,,,,Alternative Christian High School,Ms.,Sandra,Christian,Administrator,Coeducational,Day Only,K,12,Yes,1,1,1,1,3,No,No,No,Yes,Non-religious,,No,Ms.,Sandra,Christian,1500 Calle Don Guillermo ,La Habra,CA,90631,
74699,Orange,Alton School,Anaheim Union High,30664317078579,714,821,6588,5400 Myra AvenueAvenue,Cypress,CA,90630,kadnps@aol.com,0,0,0,0,0,0,0,3,6,9,6,12,14,0,0,50, ,,,,,Ms.,Kristina,Drucker,Director,Coeducational,Day Only,6,12,Yes,14,5,1,2,16,No,No,No,Yes,Non-religious,,Yes,Ms.,Kristina,Drucker,54 Appomattox ,Irvine,CA,92620,kadnps@aol.com
76600,Orange,Amaanah Montessori School,Magnolia Elementary,30665897086457,714,991,8961,1309 South Brookhurst Street,Anaheim,CA,92804,amaanah92@yahoo.com,8,4,6,6,5,4,0,0,0,0,0,0,0,0,0,33, ,,,,,Mrs.,Shamilla,Sufi-Ismail,Director,Coeducational,Day Only,K,5,No,0,5,2,3,0,No,No,No,Yes,Non-religious,,No,Mrs.,Shamilla,Sufi-Ismail,1309 South Brookhurst Street,Anaheim,CA,92804,babymunchkin31@yahoo.com
71959,Orange,Anaheim Discovery Christian Jr./Sr. High,Anaheim Union High,30664316136816,714,535,2535,1275 East Broadway Avenue,Anaheim,CA,92805,adcs@adelphia.net,0,0,0,0,0,0,0,5,1,10,13,20,22,0,0,71, ,,,,,Rev.,Victor,Chayasirisobhon,Administrator,Coeducational,Day Only,6,12,Yes,17,6,1,1,2,Yes,No,No,No,Religious,BAPT,No,Mrs.,Winona,Harp,1275 East Broadway Avenue,Anaheim,CA,92805,adcs@adelphia.net
78403,Orange,Anaheim Hills Montessori,Orange Unified,30666217099419,714,283,5858,6274 Santa Ana Canyon Road ,Anaheim Hills,CA,92807,mjayarat@gmail.com,22,16,10,4,3,0,2,0,0,0,0,0,0,0,0,57, ,,,,,Mrs.,Chintha,Jayaratna,Principal,Coeducational,Day Only,K,6,No,0,5,0,1,0,No,No,No,Yes,Non-religious,,No,Mrs.,Chintha,Jayaratna,6274 Santa Ana Canyon Road ,Anaheim Hills,CA,92807,mjayarat@gmail.com
